"Line","value"
"f.25180",33.8766816843065
"f.25180",38.5754727446249
"f.25180",29.8453325359657
"f.25180",29.7118441535702
"f.25180",11.1783171417916
"f.25180",33.7084863224885
"f.25180",34.3492305579869
"f.25180",27.0928020909722
"f.25180",38.1669982944949
"f.25180",36.698626088146
"f.25180",27.73354632647
"f.25180",37.5529517354761
"f.25180",32.4803932044508
"f.25180",32.9609513810745
"f.25180",32.2668117926179
"f.25180",42.8734833775697
"f.25180",20.3537016052909
"f.25180",25.3741024071329
"f.25180",12.9154717827593
"f.25180",63.5964345267711
"f.25180",14.2678772050378
"f.25180",39.1894031732677
"f.25180",33.2015531169363
"f.25180",66.129239667229
"f.25180",23.734715160987
"f.25180",62.4451594629261
"f.25180",20.3537016052909
"f.25180",22.3807872411373
"f.25180",25.7633232944048
"f.25180",25.3741024071329
"f.25180",37.934972094911
"f.25180",25.1438473943639
"f.25180",42.6683910728855
"f.25180",39.1894031732677
"f.25180",24.4109178721263
"f.25180",37.934972094911
"f.25180",33.2015531169363
"f.25180",44.0207964951642
"f.25180",66.3354859627579
"f.25180",43.3445937840244
"f.25180",38.6111748060501
"f.25180",37.2587693837717
"f.25180",48.7542154731392
"f.25180",38.6111748060501
"f.25180",31.1729449835186
"f.25180",55.439859009014
"f.25180",34.9762708300398
"f.25180",45.5608854053716
"f.25180",46.9721673487489
"f.25180",33.5649888866628
"f.25182",37.2361760707418
"f.25182",41.9425379567942
"f.25182",34.3005245972634
"f.25182",50.9032645972693
"f.25182",19.4358766601257
"f.25182",51.5886361137572
"f.25182",25.4178141701328
"f.25182",35.1858798035501
"f.25182",45.3324335204075
"f.25182",46.7670630953614
"f.25182",38.4181160522368
"f.25182",55.2814516317333
"f.25182",26.2629761615648
"f.25182",47.9635409061057
"f.25182",34.9432020593812
"f.25182",29.0681229296657
"f.25182",45.9522690517342
"f.25182",49.9216320330758
"f.25182",42.2472945831536
"f.25182",36.9555503525797
"f.25182",53.6746726447819
"f.25182",49.022105039986
"f.25182",41.8751581493886
"f.25182",37.2023820526909
"f.25182",26.2765723455864
"f.25182",29.5543152577178
"f.25182",55.7762585547692
