"Line","value"
"p.25180",27.436975615973
"p.25180",22.1525920623911
"p.25180",22.2286263581259
"p.25180",26.8667183979607
"p.25180",26.9807698415629
"p.25180",18.9971687893884
"p.25180",40.3323921726282
"p.25180",48.2399589290673
"p.25180",54.9309769537469
"p.25180",23.673277977091
"p.25180",32.0750676558076
"p.25180",25.4220667789959
"p.25180",42.499369601076
"p.25180",42.3092838617383
"p.25180",15.9177798121214
"p.25180",39.0360074303464
"p.25180",46.9359707572129
"p.25180",39.5302303526243
"p.25180",39.5302303526243
"p.25180",36.4622465197173
"p.25180",31.8241544798819
"p.25180",33.2688060988471
"p.25180",18.7082384655957
"p.25180",29.0489026855547
"p.25180",48.0004508975024
"p.25180",48.912862446323
"p.25180",38.5798016559367
"p.25180",54.3493145913742
"p.25180",52.2583714586626
"p.25180",39.4922132047564
"p.25180",53.4749201904217
"p.25180",46.2516620955976
"p.25180",46.9359707572129
"p.25180",45.9475249126572
"p.25180",38.9403349459382
"p.25180",36.6344675916259
"p.25180",63.15194216621
"p.25180",58.8284408768763
"p.25180",46.1461704281622
"p.25180",51.0461385560739
"p.25180",63.4401755854986
"p.25180",43.552069654561
"p.25180",44.4167699124286
"p.25180",53.6690626716035
"p.25180",23.8887392600248
"p.25180",31.7633228056427
"p.25180",15.1586352115108
"p.25180",79.6100704076098
"p.25180",16.7459268566951
"p.25180",49.0573279629808
"p.25180",38.9680098892764
"p.25180",82.7806380197883
"p.25180",27.8569683729857
"p.25180",78.1689033111644
"p.25180",23.8887392600248
"p.25180",28.0162883548865
"p.25180",30.2379058407623
"p.25180",31.7633228056427
"p.25180",44.5235306474217
"p.25180",31.4750893863536
"p.25180",50.0790514055669
"p.25180",49.0573279629808
"p.25180",28.6506141955779
"p.25180",27.8569683729857
"p.25180",29.4442600181701
"p.25180",14.3649893889186
"p.25180",32.6188433085389
"p.25180",24.682385082617
"p.25180",44.5235306474217
"p.25180",19.9205101470639
"p.25180",23.8887392600248
"p.25180",34.2061349537232
"p.25180",26.2696767278014
"p.25180",44.5235306474217
"p.25180",38.9680098892764
"p.25180",51.6663430507516
"p.25180",77.8566551962926
"p.25180",50.8726972281587
"p.25180",45.3171764700138
"p.25180",43.7298848248294
"p.25180",57.2218638088973
"p.25180",45.3171764700138
"p.25180",36.5870724214998
"p.25180",74.01892444037
"p.25180",46.6975564882605
"p.25180",60.8292985324555
"p.25180",62.7135308050145
"p.25180",44.813324215702
"p.25180",49.733264038495
"p.25180",19.5855476775469
"p.25180",18.2247132584763
"p.25180",31.2049800249959
"p.25180",37.904472549651
"p.25180",45.7554403519813
"p.25180",24.9242057831316
"p.25180",23.563371364061
"p.25180",25.1335649245266
"p.25180",40.2074231050009
"p.25182",21.6011273547809
"p.25182",38.868409973442
"p.25182",43.7810734790322
"p.25182",35.8040753115389
"p.25182",53.1345902327463
"p.25182",20.2878410711083
"p.25182",38.4787716399951
"p.25182",20.8715238638517
"p.25182",36.7515861953464
"p.25182",29.9539344824388
"p.25182",34.2962280969514
"p.25182",32.7397406496352
"p.25182",38.0352285727023
"p.25182",34.2231657801921
"p.25182",30.1844726900076
"p.25182",34.5880694933227
"p.25182",53.8500047542685
"p.25182",26.5319945828101
"p.25182",36.7282397333823
"p.25182",47.3195638514957
"p.25182",48.81707987928
"p.25182",40.1021598535982
"p.25182",57.704693464417
"p.25182",25.5466663226529
"p.25182",32.1881405766105
"p.25182",41.7009255212702
"p.25182",28.0693652768634
"p.25182",31.2099740523823
"p.25182",26.5763586371492
"p.25182",38.9130534713005
"p.25182",28.0980770166089
"p.25182",34.8132880426063
"p.25182",37.9066244192576
"p.25182",46.6553587698261
"p.25182",33.9901433015223
"p.25182",28.275304083655
"p.25182",44.6989433722838
"p.25182",48.5600439183151
"p.25182",41.0950202715465
"p.25182",35.9476057785486
"p.25182",52.2107221816162
"p.25182",47.6850510843226
"p.25182",40.7330336771327
"p.25182",56.8053419045483
"p.25182",45.7303767891206
"p.25182",39.2699804717875
"p.25182",32.3481272746451
"p.25182",39.7314373515973
"p.25182",14.3513089620753
"p.25182",45.2689199093108
"p.25182",40.654351111216
"p.25182",31.4252135150264
"p.25182",22.1960759188366
"p.25182",24.9648171976936
"p.25182",47.1147474285497
"p.25182",41.5772648708355
"p.25182",47.1147474285497
"p.25182",42.5001786304548
"p.25182",25.4262740775031
"p.25182",26.8106447169316
"p.25182",30.9637566352172
"p.25182",30.6154060279398
"p.25182",46.1929861442636
"p.25182",37.7325682359272
"p.25182",32.8095841544548
"p.25182",25.7288249629186
"p.25182",27.0167535407707
"p.25182",34.4628482848074
"p.25182",49.8834887074067
"p.25182",49.4992405584947
"p.25182",36.0397823131218
"p.25182",31.8470723239106
"p.25182",39.2699804717875
"p.25182",36.2066989254044
"p.25182",48.7161887913789
"p.25182",30.1032216833135
"p.25182",53.5671938557942
"p.25182",36.2066989254044
"p.25182",35.5663530718426
"p.25182",34.592689324956
"p.25182",41.1158079910258
"p.25182",38.6038781325458
"p.25182",35.1167922750307
"p.25182",42.5001786304548
"p.25182",26.3975390720439
"p.25182",18.0429640005512
"p.25182",35.875588224665
"p.25182",45.9466245065838
"p.25182",46.23384010884
"p.25182",34.1939547938831
"p.25182",24.9785204658208
"p.25182",34.1859849616353
"p.25182",38.3865122261509
"p.25182",42.6149932300218
"p.25182",46.4518214389146
"p.25190",32.108506587953
"p.25190",36.2306909942914
"p.25190",35.4456272674376
"p.25190",38.38510065705
"p.25190",24.6510010232013
"p.25190",24.7489394344356
"p.25190",31.1271580185378
"p.25190",20.4291623517358
"p.25190",30.9159401413635
"p.25190",35.7730721585256
"p.25190",37.6045525162849
"p.25190",32.0096196682027
"p.25190",28.5763196574689
"p.25190",37.5062911711322
"p.25190",27.642828486133
"p.25190",36.8194887894314
"p.25190",26.6136603403353
"p.25190",26.506627814121
"p.25190",38.1933503114253
"p.25190",37.7025577711425
"p.25190",36.6339117038675
"p.25190",42.3305726147562
"p.25190",54.3812014647132
"p.25190",45.8362100983797
"p.25190",44.3024936992948
"p.25190",52.6283827229006
"p.25190",48.0272335256451
"p.25190",27.6507156520819
"p.25190",43.8642890138421
"p.25190",26.7253251757814
"p.25190",32.0157790739244
"p.25190",20.8204959862407
"p.25190",27.3738324278118
"p.25190",20.8204959862407
"p.25190",30.9986466470554
"p.25190",25.8378941993187
"p.25190",23.0390734273976
"p.25190",26.2816096875501
"p.25190",27.7151520341435
"p.25190",35.4016695687361
"p.25190",32.3980570330163
"p.25190",32.9441684031467
"p.25190",35.4016695687361
"p.25190",34.58250251354
"p.25190",29.2852222232698
"p.25190",39.3268450415516
"p.25190",32.0157790739244
"p.25190",34.3367523969805
"p.25190",34.8059924963511
"p.25190",44.3682244021123
"p.25190",48.5645102610719
"p.25190",10.9551171363241
"p.25190",41.9481919404376
"p.25190",48.0929642284632
"p.25190",44.5898273512633
"p.25190",29.2501627539854
"p.25190",38.5238497412182
"p.25190",37.9047052916812
"p.25190",44.6998954933819
"p.25190",43.6013662025697
"p.25190",38.5849987090612
"p.25190",12.707935878136
"p.25190",35.9678228853724
"p.25190",42.5058544889373
"p.25190",44.6998954933819
"p.25190",44.0395708880234
"p.25190",39.7590588916504
"p.25190",38.1238076344082
"p.25190",53.272980784998
"p.25190",45.3541849443814
"p.25190",49.8486385857797
"p.25190",41.5198939466686
"p.25190",55.4743436273543
"p.25190",33.0844537516991
"p.25190",37.8512110949425
"p.25190",55.0952200267262
"p.25190",39.7590588916504
"p.25190",43.4891459300858
"p.25190",49.4695149851516
"p.25190",56.3915781450014
"p.25190",44.9444913647543
"p.25192",65.0909306131412
"p.25192",55.2345248492749
"p.25192",59.0997820115754
"p.25192",55.2345248492749
"p.25192",51.3692676869741
"p.25192",50.0164276801689
"p.25192",67.6033477686356
"p.25192",53.1086334100094
"p.25192",68.1831363429816
"p.25192",49.6299019639386
"p.25192",22.37983896972
"p.25192",38.0341304770373
"p.25192",22.573101827835
"p.25192",19.4808960979946
"p.25192",16.5819532262692
"p.25192",18.3213189493044
"p.25192",34.5553990309663
"p.25192",41.126336206878
"p.25192",33.5890847403913
"p.25192",31.2699304430113
"p.25192",46.4603910908526
"p.25192",55.3118299925201
"p.25192",59.6022654426734
"p.25192",49.5139442490694
"p.25192",55.7370082803739
"p.25192",67.2941271956524
"p.25192",30.7170958770399
"p.25192",35.3043370382614
"p.25192",36.9818091928565
"p.25192",37.1753636722332
"p.25192",43.4981433318634
"p.25192",40.2399762623603
"p.25192",36.1108140356632
"p.25192",32.3687607677187
"p.25192",37.3043999918179
"p.25192",38.9173539866208
"p.25192",46.3369423627176
"p.25192",39.2076857056855
"p.25192",37.4979544711939
"p.25192",27.355699751869
"p.25192",38.7754140350788
"p.25192",42.5174673030231
"p.25192",44.9691573751246
"p.25192",22.3232832880816
"p.25192",37.0334237206905
"p.25192",72.7506769816211
"p.25192",41.7740882543766
"p.25192",44.0537887714655
"p.25192",53.726281808224
"p.25192",44.6922494782993
"p.25192",36.3838833183285
"p.25192",46.820451834408
"p.25192",37.2627210796404
"p.25192",29.5820127499215
"p.25192",46.1096878768506
"p.25192",50.2255756041831
"p.25192",40.4265370203644
"p.25192",45.5435304207429
"p.25192",39.8992343635771
"p.25192",34.8019753479661
"p.25192",47.1396821878242
"p.25192",52.9060332309986
"p.25192",44.7986595961039
"p.25192",40.1335910999271
"p.25192",43.2025078290223
"p.25192",60.9093157773492
"p.25192",13.0884444900731
"p.25192",69.1703907336844
"p.25192",21.4948437967057
"p.25192",63.252883140848
"p.25192",46.9268619522133
"p.25192",59.8547104637739
"p.25192",23.2013168986441
"p.25192",27.3474002760067
"p.25192",63.780185797636
"p.25192",22.8781753281767
"p.25192",60.6163698569119
"p.25192",14.4717760215443
"p.25192",51.4413036288119
"p.25192",14.8974164927662
"p.25192",60.9679049614363
"p.25192",50.7576261932109
"p.25192",64.2488992703363
"p.25198",31.241215563253
"p.25198",36.5602006866917
"p.25198",48.1368153671159
"p.25198",41.2534228544306
"p.25198",46.363820325969
"p.25198",41.7227450712053
"p.25198",35.3608216882693
"p.25198",43.0785648085518
"p.25198",25.3173262493063
"p.25198",43.6000339383003
"p.25198",33.7442673860472
"p.25198",42.9221240696276
"p.25198",33.7964142990226
"p.25198",34.2396630593091
"p.25198",29.9636161953681
"p.25198",29.4421470656198
"p.25198",26.0786711787393
"p.25198",45.0810062667876
"p.25198",44.5126049153611
"p.25198",33.7964142990226
"p.25198",42.0985492204887
"p.25198",45.4026037369104
"p.25198",45.7389513491134
"p.25198",41.9393145739075
"p.25198",45.0209144362549
"p.25198",42.3861905949404
"p.25198",35.9736493342316
"p.25198",31.9404636033042
"p.25198",42.7471308788674
"p.25198",47.5252648368155
"p.25198",44.9012416174443
"p.25198",42.888926118602
"p.25198",53.5176845717513
"p.25198",33.2252321637724
"p.25198",41.5504026907696
"p.25198",39.202198945083
"p.25198",42.2684396036289
"p.25198",44.6764302027326
"p.25198",32.0962500047941
"p.25198",45.7377607526845
"p.25198",36.045453025518
"p.25198",47.8045623499605
"p.25198",34.2503607433703
"p.25198",51.7705870366243
"p.25198",34.1306879245605
"p.25198",46.408074784234
"p.25198",40.5930201402909
"p.25198",53.6139506233843
"p.25198",24.5568624197749
"p.25198",26.6338108535422
"p.25198",42.8668036976778
"p.25198",43.0565046264892
"p.25198",40.2340016838618
"p.25198",47.636983842073
"p.25198",41.5504026907696
"p.25198",29.3709264823665
"p.25198",45.6192785303031
"p.25198",47.8604218525891
"p.25198",27.0699916147812
"p.25198",34.3700335621805
"p.25198",43.0728152804024
"p.25198",26.6641237450109
"p.25198",36.9195559546301
"p.25198",34.3556979022254
"p.25198",46.4058307485287
"p.25198",26.4077379397704
"p.25198",38.4578707860737
"p.25198",34.8684695127064
"p.25198",38.9706423965546
"p.25198",38.9706423965546
"p.25198",42.3036578646806
"p.25198",46.4058307485287
"p.25198",45.8930591380478
"p.25198",25.3821947188085
"p.25198",46.6622165537691
"p.25198",38.7142565913135
"p.25198",43.3292010856429
"p.25198",37.9450991755922
"p.25198",33.5865404865042
"p.25198",35.637626928428
"p.25201",39.2196459428408
"p.25201",68.1183324270379
"p.25201",29.8275728354758
"p.25201",36.8458252673528
"p.25201",45.6186408071989
"p.25201",44.9993832396799
"p.25201",50.8823301311067
"p.25201",38.7035979699088
"p.25201",44.7929640505076
"p.25201",43.7608681046432
"p.25201",27.1290901252072
"p.25201",23.9151602661675
"p.25201",36.8809457933888
"p.25201",34.5695578810651
"p.25201",31.7518659498528
"p.25201",39.5665584153258
"p.25201",27.8995527626483
"p.25201",24.9497815221596
"p.25201",23.9591867025931
"p.25201",32.3462228415928
"p.25201",46.3642401993766
"p.25201",36.3306153380735
"p.25201",31.9279716955538
"p.25201",39.1042808328606
"p.25201",45.4000612416639
"p.25201",39.7646773792391
"p.25201",39.3244130149872
"p.25201",40.0288359977901
"p.25201",49.9788106298844
"p.25201",23.0786579740889
"p.25201",53.3731421530104
"p.25201",38.0346261282111
"p.25201",21.6101670141308
"p.25201",37.3087744845421
"p.25201",52.805946168388
"p.25201",53.761411741021
