"Line","value"
"m.25180",36.4814916406177
"m.25180",29.4551270319913
"m.25180",29.5562258033382
"m.25180",35.7232508555142
"m.25180",35.8748990125346
"m.25180",25.2595280210843
"m.25180",53.6278432610937
"m.25180",31.4771024589342
"m.25180",42.6485166927934
"m.25180",33.8023741999186
"m.25180",51.9041092096246
"m.25180",62.4082715525938
"m.25180",52.5612512233817
"m.25180",52.5612512233817
"m.25180",48.4819157995243
"m.25180",42.3148907473476
"m.25180",44.2357674029437
"m.25180",24.8753526899655
"m.25180",38.6247855931769
"m.25180",49.2006069314146
"m.25180",46.2871735083841
"m.25180",79.791657873226
"m.25180",74.3289702050462
"m.25180",58.3050863783827
"m.25180",64.4961324023202
"m.25180",80.1558370511042
"m.25180",55.0274737774735
"m.25180",56.1200113111104
"m.25180",34.3100888119063
"m.25180",36.2650796273996
"m.25180",17.6926668802138
"m.25180",40.1750612583861
"m.25180",30.4001071809199
"m.25180",54.8374923745854
"m.25180",24.5351347344402
"m.25180",29.4226117731733
"m.25180",42.1300520738793
"m.25180",32.3550979964131
"m.25180",64.4615177812587
"m.25180",25.385708223266
"m.25180",23.6218695973843
"m.25180",40.4461764904093
"m.25180",49.1296897255189
"m.25180",59.3056817979129
"m.25180",32.305382832494
"m.25180",30.5415442066124
"m.25180",32.5767426210906
"m.25180",52.1146474000873
"m.25182",22.8410084111645
"m.25182",40.6874109969027
"m.25182",22.0695264787903
"m.25182",38.8610869990428
"m.25182",31.6732575214148
"m.25182",36.2647940344792
"m.25182",34.6189659120802
"m.25182",40.2184090432381
"m.25182",36.187538020743
"m.25182",31.917028369653
"m.25182",36.5733868074285
"m.25182",31.7334949939348
"m.25182",41.1119153690183
"m.25182",27.6728958721997
"m.25182",30.7691447101415
"m.25182",26.2009773991672
"m.25182",38.3634209808171
"m.25182",27.7012020692388
"m.25182",34.3215632227362
"m.25182",37.3712073669633
"m.25182",48.6830204838506
"m.25182",39.1916111287539
"m.25182",33.6549556716139
"m.25182",27.7228248246784
"m.25182",34.0504310614098
"m.25182",12.2992846226463
"m.25182",38.7961357389579
"m.25182",34.841381841001
"m.25182",28.1413676924217
"m.25182",39.5880742070026
"m.25182",34.6833903080551
"m.25182",28.1183002144742
"m.25182",23.6496724203064
"m.25182",23.15375846593
"m.25182",31.6778972137699
"m.25182",42.7508896369157
"m.25182",45.4991950059717
"m.25182",30.8866279430445
